,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
1,1463659547109769222,Canada,42 new cases were reported in the Island Health region.  https://t.co/O85H7IYIU5 #victoriabuzz #yyj,2021-11-25 00:03:24+00:00,victoriabuzzes,en,0,0,1,0
2,1463659524758274051,"Prince George, BC","88% of adults in BC fully inoculated against COVID-19
https://t.co/i5JOtyBiie https://t.co/B226aMWutI",2021-11-25 00:03:18+00:00,mypgnow,en,0,0,0,0
3,1463659512162832387,"Ottawa, Ontario",Way to go W! Was so excited to see her on @ctvottawa asking her question about the vaccine. She did an amazing job!⭐️ @StAnneOCSB https://t.co/vhjEa3h5U6,2021-11-25 00:03:15+00:00,MissCampagna,en,2,1,28,0
4,1463660598340710404,Vancouver BC,"There are 322 new cases of COVID-19 in BC since yesterday. 

There are 318 people currently in hospital, 109 of whom are in intensive care.",2021-11-25 00:07:34+00:00,adriandix,en,17,6,26,1
5,1463660577931378695,"Toronto, Ontario","A reminder that the survival rate for Covid-19 is well over 99%.

None of these measures are justified anymore. They likely never were. 

#onpoli #cdnpoli",2021-11-25 00:07:29+00:00,JamesManson6263,en,380,25,1687,14
6,1463660569450352640,Vancouver BC,"Nine people have passed away from COVID-19 in the past 24 hours. Our condolences are with the families, friends and caregivers of those who have died as a result of COVID-19.",2021-11-25 00:07:27+00:00,adriandix,en,12,2,22,2
7,1463662714220253186,Canada,"Nothing is ever too late, how to devaccinate -Tips ZEOLITE to neutralize Graphene Oxide and in China they are using Nanocrystals to neutralize the  spike proteins in the mRNA Covid vaccine https://t.co/bBxZyM1BwY",2021-11-25 00:15:59+00:00,IdilSophie1,en,0,0,0,0
8,1463662689545191427,"Victoria, British Columbia","Children at lower risk from COVID, vaccines should go to poor - WHO https://t.co/WpoKzXoypL",2021-11-25 00:15:53+00:00,Phyllisnudgeccm,en,0,0,1,0
10,1463664654132023296,"Vancouver, British Columbia",Showing where the acupuncturist gave him Covid immunity. https://t.co/R9tB5bhHJP,2021-11-25 00:23:41+00:00,Bun73529461,en,0,0,0,0
11,1463664585949564928,"Ottawa, Ontario","""mRNA vacs dramatically increase inflammation on the endothelium and T cell infiltration of cardiac muscle and may account for the observations of increased thrombosis, cardiomyopathy, and other vascular events following vaccination.""

Not good. https://t.co/r6nWjsRKrr",2021-11-25 00:23:25+00:00,phil_rack,en,0,0,1,0
12,1463664558397079556,"Hamilton, Ontario",Thanks to Covid I haven’t clubbed at Hess for damn near 2 years,2021-11-25 00:23:18+00:00,_CallMeTriggs,en,0,1,18,0
13,1463666652902567938,"Toronto, Ontario","Tonight we celebrate the 187th AGM of the St. George's Society Toronto. 

""As we continue to navigate the COVID-19 pandemic, we've faced periods of great difficulty and uncertainty. The Society has maintained an eye on its support for those most in need."" -Aaron Bains, President https://t.co/WCRf85NN4u",2021-11-25 00:31:38+00:00,stgeorgesto_,en,1,1,5,1
14,1463666591262928896,"Calgary, Alberta","Some people smell like actual COVID. Please for the love of God, put your deodorant.",2021-11-25 00:31:23+00:00,HarryAquino,en,0,1,3,0
15,1463668717833891841,"Kingston, Ontario","CBC: BC records 322 new cases of COVID-19 and 9 more deaths.
https://t.co/C5nISRclE4

via @GoogleNews",2021-11-25 00:39:50+00:00,timmins316,en,0,0,0,0
16,1463668669637173252,"Ontario, CA","Welcome Communist Canada.

Where people are not able to put food on the table- or feed their kids if not vaxxed!! 
Vax is an experimental and leaky vaccine that doesn’t prevent infection.  

Who’s paying him ? What changed ?
Wake up 🇨🇦 Canada 

#CommunistCanada 
#CommunistON https://t.co/FBqT3uWYlB",2021-11-25 00:39:39+00:00,SassyPr88568654,en,0,0,1,1
17,1463668626066575370,"Saskatoon, Saskatchewan",How is it that our premier has not tweeted ONCE this week about the absolutely critical official launch of child COVID vaccinations for the province?  Is this not important to broadcast to literally everyone here?,2021-11-25 00:39:28+00:00,CraigKoban,en,0,0,1,0
19,1463670764499091457,"Ontario, Canada",My son went back to school Monday after isolating 10days with a negative test after someone in his class has covid. It's Wednesday and I got another exposure email except this time it's from his bus. So he's gunna have to get another test n isolate another 10 days... https://t.co/BXq6fXq8Pf,2021-11-25 00:47:58+00:00,Inked_Mamma,en,0,1,1,0
25,1463670647909879813,Toronto-Citizen of Canada & US,"#BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #covid19 #corruption Wakey #science #Australia #Arizona #Israel #murder #children

#Shingles? #Herpes? #Retina /other #virus reactivation? Common.
You're not alone. Tons of reports.
Not a #vaccine. That was for liability insurance. https://t.co/ZQZ97nqUwJ",2021-11-25 00:47:30+00:00,ClareKuehn,en,2,1,1,0
26,1463670582633922561,Edmonton Alberta Canada,"Alberta reports 464 new COVID-19 cases, 4 new deaths | CBC News https://t.co/gojRD5RkOi",2021-11-25 00:47:15+00:00,EdmontonTwitte,en,0,0,1,0
27,1463672765660213248,"Ottawa, Ontario","""Do dosage amounts vary by child's size?""
Kids &amp; Vaccines: @VeraEtches answers questions about COVID-19 vaccines for the 5-11 age group.
https://t.co/5B61VZvHPg
#ottnews #ottawanews #ctvottawa #ctvnewsottawa",2021-11-25 00:55:55+00:00,ctvottawa,en,0,0,0,0
28,1463672543538262020,"Ottawa, Ontario","""Should I wait until I'm 12 to get the bigger dose?""
Kids &amp; Vaccines: @VeraEtches answers questions about COVID-19 vaccines for the 5-11 age group.
https://t.co/VmrXTjmsiU
#ottnews #ottawanews #ctvottawa #ctvnewsottawa",2021-11-25 00:55:02+00:00,ctvottawa,en,0,0,1,0
31,1463674632964395008,"Toronto, Ontario","When children start dying and getting seriously injured from these Covid vaccines people are going to turn against the health professionals that pushed it.  They're already anticipating the back-lash and trying to protect themselves!😠

https://t.co/6NzeLTHfRK",2021-11-25 01:03:20+00:00,MongrelGlory,en,0,0,2,0
32,1463676776333283329,"Vancouver, BC, Canada","My 11yo twins were vaccinated this past summer, they understood why they were getting the vaccine, “to protect us, others, and to be able to hug our grandparents again” #GetVaccinated #matureminors https://t.co/JdOan159qk",2021-11-25 01:11:51+00:00,eastsidedads,en,0,0,6,0
33,1463676764488617988,"Barrie, Ontario","Breaking: Covid mRNA vaccine significantly increases endothelial inflammation and cardiac risk, according to a study just published in the prestigious Circulation journal. The trial needs to stop immediately.  @BLNewsMedia @DrP_MD @TheoFleury14 

https://t.co/d2Cm7r2HMF https://t.co/BmSZDez5eg",2021-11-25 01:11:49+00:00,emadguirguismd,en,627,28,899,71
34,1463676679168086021,"Brampton, Ontario","13-year-old Brampton, Ont. girl who died of COVID-19 passed away same day she was taken to hospital https://t.co/qKm2gSXqv8",2021-11-25 01:11:28+00:00,mm0333333,en,0,0,0,0
35,1463676662378344448,"Halifax, Nova Scotia",I knew there would be potential Covid-19 exposures from the large concert November 20 at Scotiabank Centre in Halifax where thousands gathered and did not have to social distance. How could there not be? https://t.co/LwWZpm1iPX,2021-11-25 01:11:24+00:00,SH_BordenColley,en,1,0,3,0
36,1463676658515431426,Ontario...sadly.,"Dear Public Health,

Please look at the orange line which represents vaccination status vs the black line that represents cases.  Notice that vaccines are not halting infection (and clearly transmission)?

Now justify ""workplace vaccine mandates""...

cc: @anthonyfurey @sunlorrie https://t.co/EG0ty02Rmo",2021-11-25 01:11:23+00:00,Wontevertweet27,en,1,0,3,0
37,1463678589958856705,"Fredericton, NB CANADA",The evidence is clear! Say NO to the COVID-19 vaccine for children  💜 https://t.co/vTuqh43Imr,2021-11-25 01:19:04+00:00,DivineLogos,en,1,0,1,0
38,1463680802261192710,Repentigny Québec Canada,Over 200 lawyers sign declaration to end vaccine mandates and passports https://t.co/4X6VBS1EBH via @truenorthcentre,2021-11-25 01:27:51+00:00,LuciePerreault,en,0,0,0,0
